"num";"ptec";"alti";"acac";"acmi";"boco";"bran";"cann";"cult";"four";"fria";"frib";"patu";"exot";"sava";"savh";"tama";"urba"
337;"C2 (217)";1400;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
338;"C3 (217)";1370;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
339;"C5 (217)";1340;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
340;"C6 (217)";1320;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
341;"C7 (217)";1300;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
342;"C8 (217)";1280;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
343;"D5 (217)";1340;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
344;"D6 (217)";1310;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
345;"E5 (217)";1350;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
346;"G2 (217)";1410;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
347;"G3 (217)";1390;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
348;"G8 (217)";1300;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
349;"H7 (217)";1310;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
350;"D1 (108)";1020;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
351;"D3 (108)";930;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
352;"A3 (2317)";1250;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
353;"A4 (2317)";1240;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
354;"A8 (2317)";1030;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
355;"B1 (2317)";1290;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
356;"B3 (2317)";1250;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
357;"B6 (2317)";1120;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
358;"B7 (2317)";1080;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
359;"B8 (2317)";1020;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
360;"G2 (2317)";1240;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
361;"G3 (2317)";1210;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
362;"G4 (2317)";1160;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
363;"H6 (2317)";1020;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
