"num","ptec","ACTR","CIMA","COCH","COCO","COFR","ESAM","ESAS","FOMA","FRPO","GEST","HYBO","LOPU","MAMA","PADO","PEAS","PHBO","PHLE","PLCU","PYJO","SATE","SECA","SEMO","STPI","TEBO","TUNI","ZOBO","ZOOL"
311,"PN35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
312,"PN36",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0
313,"PN37",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0
314,"PN38",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0
315,"PN39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,5,0
316,"PN40",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,3
317,"PN41",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,3,0
318,"PN42",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0
319,"PN43",0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,0
320,"PN44",0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0
321,"PN45",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
322,"PN46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,9,0
323,"PN48",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,2,0,8,0
