NOS	ALTI	ACDE	ACMI	BOCO	BRAN	CANN	CRYP	CULT	FOEX	FRAR	FRBA	PATU	SAAR	SAHE	TAMA	URBA
ID326	1420	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID327	1395	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID328	1380	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID329	1410	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID330	1400	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID331	1410	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID332	1400	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID333	1460	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID334	1490	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID335	1340	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID336	1330	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID337	1390	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ID338	1400	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
